"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"7549",24354,"iphone 4 case"," case iphone otterbox reflex series"," 44s apple case dancing enjoy features highlyprotective innovative iphone latest lovers new offering qualities reflex remarkable series simply slide streets tech",4,0
"7550",24357,"steel necklace"," boxer necklace stainless steel"," 12324866 2032 20inch 254 back beautifully boxer cable chain clasp crafted create detailed enameled high hypoallergenic image item jewelry lobster long measures necklace paw pendant polish prints resists sandblasted solid stainless steel suspended tarnish whimsical wide",4,0.471
"7551",24358,"victorias secret lace gown"," celestial day dreams lawn mothers nightgown womens woven"," 100 accentuated along blue celestial clip collection cotton crisp day detailing dots dreams fabric gift intricate lace lawn luxurious makes mom mothers neckline offering ribbon special straps stunning tiny ultimate white",2,0.943
"7552",24363,"girls halloween costumes"," 8383 dream girl kids lil thang wild"," also attached child complete costume dress faux free fur halloween hood includes leg let parties perfect printed roam set tail trimmed velvet warmers zebra",2,0.943
"7553",24372,"headphones earbuds"," 35mm coconut comforty earbuds headphones juicys mp3 pack stereo vibe white"," 2pack 35mm 95mm also apple available bass blackberry blueberry cherry clear coconut colors come comfort comfortably complete connectivity cord designed device different drivers earbud earbuds earphones ears easy enjoy even fit frequency fruitthemed gaming green headphones heads high ideal juicys lemonade listening long low macpc mp3 music offer pink player portable quality range six sound stereo sure treble turn vibe wide",4,0.8
"7554",24376,"flea and tick control for dogs"," 1630lbs dogs drops flea hartz tick ultraguard"," 1630 also controls days dogs drops effectively eliminate flea fleas formula hartz lbs month monthly mosquitoes puppies reinfestation tick ticks treatment ultraguard using",3,0.471
"7555",24379,"storage drawers"," jbs60dfbb"," bake beneath black boil busy capacity ceramic cleanup cooks cooktop cuts delay designed drawer dual dualelement electric element elements eliminate entire even extra focused freestanding fullwidth gives glass heating inside jbs60df jbs60dfbb just kitchen meal mind needed option oven pans performance pots power produces quick radiant range ready removable space spills splatters storage system thanks time tools waiting want watchedpot wipe",1,0
"7556",24381,"aveeno shampoo"," aveeno baby conditioning gentle shampoo"," allergy aveeno baby babys clean cleanses condition conditioning conditions day delicate easy every formula formulated fragrance fresh gentle gently hair hand home keep leaves light lightly manage natural oat pediatrician plenty recommended scented shampoo smooth soft specially tearfree tested unique use vitamin wheat",4,0
"7557",24383,"k cups"," coconut coffee green island kcups keurig light mountain roast"," 1440 180 beverage brewed coffee container containers form ground package pckg per pods serving servings size total type volume",4,0
"7558",24387,"sweater dress"," 12m angel baby dress girl pink short sleeve sweater white woven"," covered customer danza dress front fully item lined occasion perfect piccola policies recommendations reviews sash sequins sleeveless special stylish ties waist white",4,0
"7559",24388,"men earrings diamond squared"," diamond earrings hardy john naga pave square","",4,0.433
"7560",24389,"pyrex"," bakeware clear glass piece pyrex set"," 3piece bakeware baking bpafree casserole clean clear come different dinner dish dishes dishwasher easy fitting freezer glass good great handy lids look looking made microwave needs new oven piece plastic pyrex safe satisfy set sizes sparkly surface tight time top vented will",4,0.433
"7561",24394,"toddler sandals"," assorted circo colors dawn girls hiking sandals toddler"," 100 acetate adjustable away brush care cleaning closure construction dirt ethylene fisherman hook insole instep lining loop material medium nylon outsole plastic polyurethane round rubber sandal sandals sizing strap style surface thermoplastic toddler toe upper vinyl width",3,0.49
"7562",24395,"martial art headgear"," century combo starter training ufc youth","",1,1.414
"7563",24401,"toy trucks"," 1st auto dump galaxy gogo kid truck"," 16218848 1st auto body chunky design dump features furniture galaxy gogo hands item kid little perfect safe soft squeezable style toddlers truck trucks walls",4,0
"7564",24404,"aveeno shampoo"," active aveeno dry naturals pure renewal shampoo","",4,0.433
"7565",24409,"pencil skirt"," blacklight dani pencil pink sami scuba skirt"," bleach care cleaning closure cold dry elastic full heat iron low machine material mid normal pattern pocket polyester printed rise size spandex style tumble type waistband wash women",4,0
"7566",24410,"toddler sandals"," disney flip flop girls pink princess sandals toddler"," 100 care cleaning closure cloth construction damp design detail details eva glitter insole lightweight lining made man material materials medium outsole pvc round sandal sandals sizing slip strap style thong toddler toe upper width wipe",4,0
"7567",24411,"bedspreads"," bedspread cascade set"," 100 110 118 120 available back bedspread bordered brushed cascade center channel color colors complementary cotton diamond double elegant embodies fabrication face fashionable fill full includes king machine measurements microfiber mitered multiple panel panels pattern percent pillow polyester queen quilted set sham shams simplicity solid twin washable",4,0
"7568",24413,"leather mens briefcase"," black briefcase calexico leather mens timberland"," accented adjustable brass briefcase carry closure closures collarstud compartment contrast cotton crisp durability ensures flap furnishings gear handle handsome hardware hearty imported interior laptop leather liner longwearing make mens padded protects seal secure shoulder stitching strap timberland top tough wellmade",3,0.471
"7569",24415,"candle holders"," 4pk better candles cinnamon flameless gardens homes led pillar"," 4pack accent add ambiance batteries better candles cinnamon classic come convenient create dramatic flameless flickering functional gardens home homes included inside lanterns led lights made modern one pieces pillar place real relaxing requires scented sconces style twist two use wall wax",2,1.095
"7570",24416,"shaver panasonic"," battery general lr6pa16bh panasonic plus purpose"," advanced batteries calls can creating cutting depend developing edge experience industry life panasonic power products right sure technologically years",1,0
"7571",24417,"yoga mat"," carrier manduka mat purple steady womens yoga"," adjustable air bag chance clothes compact compartments convenience crafted durable enhance fabric gets grommets handsfree keep mat organized provides separate shoulder strap studio stuff stylish things ventilation weatherresistant",2,1.02
"7572",24422,"speck iphone 5 case"," 100 authentic candyshell case greenblue grip iphone leaf speck","",4,0
"7573",24430,"candle lantern"," candle lantern scrollwork silver"," also artistic candle classic day decoration display elegant enjoy favorite figurine finish gleaming graceful houseplant lantern lend makes miniature night oldfashioned opulence scrollwork silver small",4,0.471
"7574",24439,"pencil skirt"," mossimo pencil ruched skirt"," applied bleach care chlorine cleaning closure cold dry gentle iron low machine material mid needed non pattern pocket pull rayon rise sizing solid spandex style tumble type wash women",4,0
"7575",24443,"skechers womens shoes"," frida running scholls shoe tech womens","",4,0.943
"7576",24452,"baseball cleats"," akadema baseball cleats mens turf"," adds akadema baseball cleats combination comfort comfortable feel full leather length lighter lightweight liner mens mesh molded sock turf",4,0.943
"7577",24453,"zippo hand warmer"," chrome deluxe hand new pouch refillable warmer zippo"," bag box cup deluxe filling hand hour includes minor nbsp new outdoor sale storage time warmer warming wear zippo",4,0
"7578",24457,"button down shirt"," buttondown essential rollcuff shirt sleeves stag white womens"," 100 bleach coldwash colorsuse dry iron like lowmedium machine neededtumble nonchlorine rayon wash",4,0
"7579",24459,"wine rack"," acacia geo rack threshold wine","",4,0.471
"7580",24465,"coffee grinder"," bunn coffee control g92t grinder portion stainless tall"," 120v 1957 1963 242500021 america beverage brewer brewers bunn bunnomatic coffee commercial continues control corporation design equipment filter first founded g92t grinder headquarters home illinois innovations interface introduced made manufacture paper portion pourover proudly springfield today users",4,0.49
"7581",24471,"sunglasses polarized"," callisto peppers polarized sunglasses"," 100percent antireflective callisto coating durability feature flexibility frame glare grilamid injected japanese lenses offer polycarbonate protection reduce sunglasses total womens",4,0
"7582",24473,"bluray hobbit extended"," bluray digital edition extended hobbit journey unexpected widescreen"," 11052015 academy actors adapting adventure appendices apply approached available awardrwinning backgrounds baggins big bilbo blockbuster blue boot brought camp cast change character characters chosen chronological comes commentary company compatible concept continuous copy culminated currently deadly definition devices digital disc dragon dwarf dwarves effects enduringly epic erebor experience explore families fearsome feature file filming filmmaker filmmakers filmmaking films finds first five follows gandalf get goblins grey high history hobbit home httpwbdigitalcopycomterms include includes including information itunes jackson joining journey jrr king kingdom know lands led legendary licensed limitations locations lonely longexpected lord lost main making masterpiece may meet middleearth mountain multipart must new oakenshield offer orcs oscarrwinning part peter physical play popular preproduction principalphotography purchase quest reclaim redeem resale restrictions return rings screen set smaug sorcerers story stunning subject swarming swept take team tell thirteen thorin thorins three title tolkien training treacherous trilogy unexpected wargs warrior wild will wizard world years zealand",4,0
"7583",24474,"table runner"," mainstays runner tuscany"," add centerpiece decorative dining experience kitchen layer loveliness machine made mainstays polyester runner table tuscany washable will",4,0
"7584",24476,"lego star wars"," 2009 8038 battle complete endor lego rare set star wars","",4,0.471
"7585",24477,"wine rack"," 20bottle ancona cabinet dark espresso glass modular rack wine"," ancona bottles cabinet can combine comes create glass handsome holds rack separately set sold unit units wine",4,0
"7586",24481,"notebook paper"," 100 4x4 bound carbonless lab notebook paper prod roaring sheets spring tape"," 100 carbonless contains copy heavyweight ideal lab notebook notetaking original paper perforated quad reports ruling school sets sheet tapebound",4,0
"7587",24486,"wired xbox 360 controller"," 360 breakaway cable controller cord headset insten microphone microsoft mono usb wired xbox"," 360 accidental accidentally adjustable bead breakaway cable call canceling case chat clear color comfort communication compatible complete connect control controller cord corp crashing crisp damage designed disconnect discuss duty easily easy eforcity endorse experience family favorite features ferrite friends games gaming gray ground halo headset immerse inch innovatively interference just keep leave length level light like listed live manufacturer message messages microphone microsoft mute names necessarily next noise one onto opponents owners playing plugging prevent product protects quantity service slim someone strategy switch system take teammates trademark trademarks trashtalk trips usb use using voice volume weight white will xbox",2,0.471
"7588",24492,"memory foam pillow"," foam gel memory pillow standard threshold top","",4,0.4
"7589",24496,"face cream"," antioxidant cream creme face nutribiotic"," absorbing acid added aging aloe alpha alternative antioxidant benefits can cells certified contains crme dmae enhanced ester everyday face fast four gel healing healthier immune ingredients key lead lipoic men nongreasy nutribiotic organic perfect properties provides reduce rejuvenate shave signs skin smoothing supports tocotrienol use vera vitamin wound",4,0
"7590",24497,"zippo hand warmer"," 40310 black deluxe hand matte new outdoor warmer zippo","",4,0
"7591",24504,"kitchen rugs"," country home kitchen mohawk multicolor rug touch"," accessories add choice colorful contemporary coordinates country design elements features floors floral home including kitchen makes mohawk nylon patterns protection roosters rug series settings style themes touch traditional wonderful",4,0
"7592",24507,"gym gloves"," blackred boxing gloves gym ringside sparring"," blackred bothersome boxing break cuff downelastic eliminates foam full gloves gym lacessold layers paddingquality pairs protective ringside sparring striking surface three wont",3,0
"7593",24508,"ecco shoes"," abelone bordeaux buckle ecco slipon womens","",4,0
"7594",24515,"fitbit charge"," activity charge fitbit heart hrtm rate wristband"," accurate active alarm automatic bright burned call caller calories climbed continuous daily day display distance fitness floors get gives heart long measures minutes monitor monitoring notifications oled rate right see sleep stats steps taken time traveled vibrating wake well wrist",4,0
"7595",24516,"digital camera"," accessories black body camera d50 digital mpx nikon slr","",4,0.471
"7596",24518,"rachel ray cookware"," 12quart covered enamel glass lid rachael ray steel stockpot"," adds aluminum anodized batch beautiful big boil boiling breeze cabinet carbon chili chipp cleanup cob collection color constructed construction cooking corn create day dirty distribution dont durable easily enamel enough even evenly exterior favorite features food generous giving grains handles hard hardanodized heat heating heats help helps interior just kitchen less lets lobster made making material means need nonstick orange pan pans pasta perfect porcelain preferred prevent punch right rim room scrubbing short side sides size soup space spare stainless steel stew sticking stock stockpot stovetop surface take throughout tons two use whether worry youll youre",4,0
"7597",24519,"speck iphone 5 case"," blue bluecadet candyshell caribbean case cell iphone mykonos phone speck spka2312"," absorb accidental add adds bezel blue bluecadet bumps can candyshell caribbean case caused cell colorful corners dashboards design drops droptested duallayer ease edge enough face fits glossy grip handbag hardshell impact iphone keep lay militarygrade model mykonos phone phones pocket protected protection protects raised reinforced screen shock slide sliding slim speck standards still style tables without",4,0
"7598",24522,"dresses for women"," black blue dress dresses greige initiation midnight women","",4,0
"7599",24526,"pencil skirt"," bundle career classic george pack pant pencil skirt suiting value womens"," adds available blazer cardigan career classic clean colors comfort companion effortlessly fashionable favorite fits flattering flexibility fully george highend knee length line lined look looking love office pencil perfect price professional provide seamlessly shape side skirt sleek slim smooth still style stylistic tailoring variety wardrobe will womens youll zipper",3,0.632
"7600",24528,"shaver panasonic"," blade blue cutting dry eslf51a mens panasonic shaver wet","",4,0
"7601",24529,"coffee for nespresso"," capsules nespresso organizer pod youcopia","",3,0.748
"7602",24530,"storage ottoman"," bench brown coffee faux footstool furniture leather ottoman stool storage table"," 100059 18hlilistrong1year 2015 2225w 368 3825l 993 accessories actual addition additional addressesli alaska alaskahawaii also answers apofpo aposfposli applicable ask assembly assign assumes assure attractive away bag books box boxes boxstronglilisturdy brandnew brbrbrbr brbrbrbrbrbrbrbrbrbrbrbrbrbrtd brproduct calculated can canada carriers charges clearinghouse code color colorstronglilistrongprovides combine comfort comfortable condition conditionstrong conditiontd confirmed construction contact contentsbrstrongonenbspfaux contiguous continental cost cushioned definitionsstrong delighted delivery deliveryli descriptionbrstrongfaux details directly ebay enter espresso espressostrongbrbrstrongminimal espressostrongbrstrongthis even excludes extra fabric fantastic fast faux feel feetlilistrongminimal feetstronglilidimensions footrest found freestrong full games global handlingstrong handmade hawaiili homeagain homeagainstrong homestrong household import includes international internationallyli item items itemstrong just last learn leather leathertd liftup limited linbsphaving linbspif linbspproducts linbspwe liother listing listrongnbspstrongstrongfast lithe lithere liul liwe local location magazines major makes manufacturer manufacturers markevco markevcoyour may method mexicoli morestrong morestrongabout nbsp nbspmay neatly new newsletter nonretail number131474928435 numberli numberstrong opens option options ordering original ottoman ottomans ottomantd packaged packaging paypal pdtnbsp pennsylvania pick plastic please policyp posted poundsbrbrpshipping program prompt protectorates protectoratesli provide provides purchaseli quantity questions questionstrong read record rectangular regardless request required requiredstrongbrbrcarton responsibility retail retailersli revisions rich room said screw seating see seller sellers sellerstrong several ship shipped shipping shippingli shippingstrong sign small spacestronglilistrongcan specificsstrong specified stability states statesli statesstrong storage store strong strongbrownstrongtd strongcategoriesstrong strongconfidentstrong strongestimated strongfree strongitem strongmarkevcoyour strongnewstrong strongquestions strongtracking strongtransit strongusstrong strongvarious sturdy supplierli suppliersstrong table tabstrong tbody tdtrtbodytable time times top toy track tracking transit tremont tucked type ulbr undamaged united unless unopened unprinted unused updated upholstery upli use usebrbrfeaturesullistrongbeautifully used using valid varyli versatile video view visit warrantystrongliulbrcarton weight wellknown will window within wood zip",4,0
"7603",24533,"nike flip flops"," flip flop nike solarsoft womens","",4,0
"7604",24537,"wireless mouse"," logitech m510 mouse wireless"," additional alerts allday also automatic back battery buttons can click comes comfort compatible computer connect contoured control cursor designed devices easily efficient enjoy equally extra faster feature finger flick forward fullsized grips helps impressive indicator interaction just know laser let lets life light logitech m510 made mode mouse mousetoscreen need offer perform plus power programmable purposely quickly receiver replace scroll scrolling side sidetoside sleep slots smooth status stays tasks time tiny turn two unifying usb using want wireless without years zoom",4,0.433
"7605",24538,"cuisinart coffee maker"," 12cup brew central coffeemaker cuisinart dcc1200 programmable"," 12cup 14inches 24hour allows arrive black brew brewing brushed cabinets capacity central coffee coffeemaker coffeemakers color cuisinart cup elegant enjoy favorite feature fits home housing kitchen lines machine pause programmable programming ready relax schedule smell spotlights stainless steel stylish suit tall waiting wake work",4,0
"7606",24542,"microwave"," avanti black countertop microwave"," avanti control cooking countertop easy electronic get hugger love microwave one panel plug power programs ready saving space start touch use wall youll",4,0
"7607",24544,"car window sticker"," 65287 change dorman oil sticker window"," adheres application areas changes cold conveniently date doityourselfer door drain easytofill essential fadingtroublefree filter gasket heat jam keep maintenanceresistant mileage next number oil plug preventive provided reminder removal service stay sticker track typefeaturesenables uptodate way windshield",3,1.02
"7608",24552,"stick vacuum"," bagless corded devil dirt lightweight sd20000red simplistik stick vacuum","",4,0
"7609",24553,"mens dress shirts"," black blue brio detailing dress faux leather mens print shirt"," 100percent attire black blue button buttondown casual click closure collar color cotton crafted cuffs fashion finest guide jl136 just long look machine materials measurement mens model neckline night options perfect shirt sizing sleek sleeve sleeves solution strike style stylish unique unparalleled view washable work",4,0.471
"7610",24554,"memory foam pillow"," foam gel memory pillow pure rest top"," 1612x2312x6 care clean comfortable cooling cover disperses distribute easy evenly foam foampolyester gel get heat helps ideal imported keeping long luxuriously measures memory night nights offering pad pillow positions removable rest sensation sleeping soft spot top various washable wonderful wrapped",4,0
"7611",24555,"iphone 4 case"," 44s black case iphone lifeproof","",4,0
"7612",24558,"werewolf costume"," brown deluxe mask teeth werewolf"," acrylic back covered dentures detailing facial frightening fur give latex look mask possible real totally unique",3,0.471
"7613",24559,"bridal shower decorations"," dreams francies garlands general merchandise paper parade string theatre"," 14181600 alphabet based birthdays can completely customizable decorative display distinctive edgeswill everyday focal garlands graphic grosgrain infinite item lettering occasions point restrung ribbon scalloped showers strung tiles type vintage weddings woodcut",1,0.943
"7614",24560,"candle chandelier"," candles ceiling chandelier crystals elegant light pendant shin tears victorian","",4,0.471
"7615",24561,"car window sticker"," houston nba rockets"," back bumpers car decal decals including licensed logo made measures officially perfect selfadhesive surfaces team usa variety windows",2,1.356
"7616",24564,"table runner"," design ikat runner table"," 100percent addition casual chartreuse colors contemporary cotton crafted design dining dinner elegant features ikat lend modern neutral rich room runner stylish sure table touch",4,0
"7617",24565,"memory foam mattress topper"," 3in dream foam full mattress memory therapy topper"," adjusts allow antimicrobial arrives body california can cell circulation comfort comfortably con density dimensions dis disrupt due dust eliminates evenly every existing expansion firmness flammability foam forms frame full greater hours improves inches item king level long machinecutting manufacturing mattress maximize may measures meets memory mites motion naturally nature needs never open opened original packaging packed perses points pounds premium pressure processes product queen receipt reducing remove resistant return returnable sensitive shape sleep slight standards stay support temperature thick threeinch tightly tips topper transfer turning twin unique unwrap used variances warm weight wide within",4,0
"7618",24567,"mac book air cover"," gel innotab purple skin"," access accessorize adaptor allow allows bumps cartridge catridge childs complements convenient design durable easily easy fun gel great headphone holder innotab innotabr jack jacksoft learning look looks material new openings perfectly port protect protective protects purple separately shocks skin slides soft sold stylus system vtechs wherever whole yet",2,0.471
"7619",24572,"digital camera"," 18x camera coolpix digital gps nikon s9300 silver wide zoom","",4,0
"7620",24576,"playstation vita system"," 17806 pch1101 playstation sony vita","",4,0
"7621",24577,"eye cream"," best circles cream dark eye gel naturals puffiness","",4,0.433
"7622",24580,"rubbermaid turntables"," rubbermaid"," 2936rdwht base cabinets clean contains countertops easy edge extra features fingertips great hard items large raised reach rubbermaid size spills spin turn turntable",4,0.943
"7623",24585,"led christmas lights"," 100light 34foot greenc6 led pure white wire","",4,0.433
"7624",24587,"beats headphones"," beats dre golden headphones mist overear studio wireless","",4,0
"7625",24593,"coffee grinder"," 20342 blades coffee electric grinder krups new spice stainless steel","",3,0.471
"7626",24594,"gym gloves"," blackdark boys free grade greygym nike redmetallic school silver","",1,0.471
"7627",24595,"mac book air cover"," air cbmpurple checkerboard cover covers keyboard macbook pro purple"," 13inch 15inch 17inch air also aluminum apple area buttons can caps checkerboard clean clear close comes compatible computer cover covers crumbs designed difference durable dust easy enhance every feel finest fingers first function hair hand including individually keep key keyboard keys laptop lasting leave light liquids lock long look macbook many marks molded oil printed pro professional protect purple qwerty reasons restrict results retina return screen second see silicone soft specially standard symbols tactile thru typing ultrathin unibody unique use washable",3,0
"7628",24596,"men earrings diamond squared"," 022ctw 10k diamond earring fashion gold mens micro pave shiny square yellow"," back beautiful best box bring can contact customer definitely dimensions expect face get gift highest hours item jewelry loved lovely merchants one ones online pack page please quality questions rated regarding seller service sizing smile sure will within",4,0
"7629",24602,"legos"," 21117 adventures creative dragon ender lego minecraft"," 111 189 21117 218 291 634 age assembly battery building cant care certifications certified clean cleaning cloth components cpsia creative damp details dimensions dragon earth educational ender endermen english enough floating focus french get happiest includes kid languages lego legomaniac little make manufacturers material minecraft minecrafter must number pieces plastic platform product required slick spanish spooky suggested thinking torches toy used weight wipe years",3,0.471
"7630",24604,"bird seed feeder"," ball bird feeder green gsb00344 new nono seed wild","",3,0.748
"7631",24613,"portable hard drive"," 2tb drive external hard mac passport portable"," 1000 2tb allows capabilities capacity computers contents convenient data designed drive easily easy external hard hours hundreds interface mac make makes million passport photos plugandplay portable provides rapidly reliable required retrieved saved set size songs space specifically storage take terabytes thousands two usb use video wherever work",4,0.8
"7632",24624,"skeleton poster"," dead grateful poster print skeleton"," addition captures colors dead details framing grateful great hanging heavy home image inches licensed make office original overall paper premium print printed ready reproduction size skeleton stock vivid",4,0
"7633",24627,"flannel sheets"," flannel micro set sheet solid"," accommodate also bit bulk care cocoon combine comfort cotton deep designed dry easy elegance energy european even excellent extra extralarge fast fitted flannel flat fleeceand gentle high home keeps larger little luxuriously made mattresses micro norm overheatingwrapping pending pill pillowcases pocket polyester product productspatent properties quality quick registered resists room saving sets shavel sheet sheets shrink soft spare thermal trademark warm wash weight without wrinkles",4,0.943
"7634",24629,"beats headphones"," beats dre headphones onear pro white"," allow audio backwardrotating beats design dre earcups envelop feature headphones immerse monitor onear pro rich robust sound soundisolating surroundings",4,0.471
"7635",24630,"cleaning robot"," aquabot cleaner dohenys inground pool robotic turbo"," 4200 6500 7hour 90degree able aquabot auto benches button cable classic clean cleaner cleaning cleans comes control double even every everything filters gallons handle hour inclines including inground length love offers option per pool pools power presetting remote robotic savings shutoff speed stairs timer touch turbo water weighs",4,0.745
"7636",24634,"memory foam pillow"," contour foam gel infused memory pillow white"," 100percent bedding body color comfortable comfy contour contours cotton foam forms gelinfused heads individual innovations lounge making matches memory night perfect pillow relaxing rest simple sleep soft spot stay supportive type want white",4,0
"7637",24635,"queen comforter sets"," 9piece bimini comforter queensize set"," accents bedroom bimini bring burlap casual comforter decor design fun looking lovely natural ninepiece set touch tropical",4,0.943
"7638",24636,"k cups"," 16ct blend blonde coffee ground kcups keurig starbucks veranda"," 100 allows always american arabica beans blend blond blonde blossom bold brew brewing chosen cocoa coffee coffeemaker coffeeroasting cup cups day delicate delightfully designed easy entire expertise favorite flavorful forty friends gentler gracious greeting ground highquality ingredients inspired just kcups keurig kosher latin less let life lighter lightly love making master mellow minute new now nuances nuts overly packaged perfect pot providing roast roasted roasters roasting seconds separately servings several shorter simplify singlecup soft sold specially starbucks system take thats theres time toasted use veranda verdana waiting waste welcoming will without years",4,0.471
"7639",24639,"business badge holder"," backup battery exit led sign","",1,0
"7640",24641,"flea and tick control for dogs"," collar count dogs flea hartz neck plus reflecting tick ultraguard"," 300 added age collar contains dimension direct dogs feet flea fleas fresh hartz kills light months nighttime older puppies reflecting reflects resistent safety scent tick ticks treatment ultraguard use water weeks",4,0.943
"7641",24644,"golf clubs"," club golf hybrid nano nextt tetra"," accurate already beauty black club crown distinctive face green hybrid hybrids innovation line long nano new nextt offers outstanding perfect series shot successful technology tetra white wood woods",4,0
"7642",24645,"khaki pants"," casual elastic pants slim stanzino waist womens"," colors complement fashion high look love pants slim style sure top variety versatile youll",2,0.471
"7643",24654,"seagate 2tb hard disk"," 2tb disks lot sata seagate st2000dm001"," 2tb 64mb 6gbs 7200rpm application barracuda bulk cache desktop drive drives every give hard internal one pack performance platform power reliability sata simplicity single storage trusted",4,0.471
"7644",24668,"cuisinart coffee maker"," 14cup brew central cleaner coffeemaker cuisinart dcc2200fr refurbished self"," 1025watt 12381688 13875 5ounce 8375 advance alert allows appliance attractive automatic automatically beep brewing brewpause brews brushed button can carafe click clock coffee coffeemaker comparison competitors complete completely controls convenience cup cups dripfree easytouse elegant enjoying extras factory factoryreconditioned finished flavorful fresh fully function generous graceful handle handy highquality hours housing icon inches include including information item kitchen learn machines measures merchandise midbrew msrp need new nonrefurbished onoff please pouring price pricing product programmed pushbutton quality refurbished safety serving shuts simple sounding spout stainlesssteel theres timeofday wait wake",4,0
"7645",24676,"sweater dress"," cowl dress halston heritage large light neck sweater syrah womens"," 1970s 2009 american best chic design disco glam halston heritage house introduced label legendary line looks merges modern now offshoot perfectly retro sensibility takes",4,0
"7646",24680,"16 gb memory card"," 16g 16gb 32g 32gb 64g 64gb card class10 kingston memory micro sdhc sdxc uhsi","",4,0.471
"7647",24683,"cocoa butter"," butter cocoa formula palmers vitamin"," advanced afterfeel aftertanning alloverthebody appearance base blend butter cocoa daily deep dry emollient enriched excellent exposure following formula greasy helps ideal immediately including marks moisture moisturization moisturizer moisturizers overnight palmers pregnancy recommended relieve restores scars skin smooth soft soften soothing stretch sun tones treatments unattractive use vital vitamin widely wind youthful",3,0
"7648",24686,"wall mirrors"," denim mirrors set square tory wall"," 195 accented add antique decor deep denim dimensions edges featuring finish frame frames high home inches inner linen look materials mdf mirror orientation overall pinewood set shape silver square stretched unique verticalhorizontal wide wood wooden wrap",4,0
"7649",24691,"flea and tick control for dogs"," 6pack advantix"," 010 4458463 advantix also apply biting cats container contents developing dogs dose duration easy eggs fast fleas flies hours infestations kills lice liquid materials maximum model month monthly mosquitoes ounces package pesticides plastic pounds prevent prevents protection repels safety single six size ticks topical treatment twelve types use vials waterproof within young",4,0.943
"7650",24694,"projector"," 3lcd epson projector svga vs230"," 2800 3lcd 6000 affordable allows almost areas brighter business classrooms colors comes compelling competitive conference connectivity correction coupled create deliver design designed displayed easy easyslide enabling energyefficient epson epsons essential even every excellent features give gives hdmi help helps higher hours image impressive installation keystone lamp location lower lumens meeting meetings models offers operates operation perfect play plug portable presentation presentations price produces professionalquality projector provide quality quick rooms setup sharp simple suite svga take technology thanks three time times usb use using versatile vga vs230 will",4,0
"7651",24696,"dean guitar"," black dean electric guitar hardtail used","",4,0.943
"7652",24698,"storage drawers"," 4bin altra end storage table"," add adding apartments beads bins can canvas collapsible color construction craft crafts decor decorations dont dorm drawers easy easytoassemble effortlessly end essentials even exactly existing extra fits four functional house lamp like make metal minutes natural organization painting perfect personalize plenty projects provide providing reach ribbons room rooms see set small solution space spaces storage store structure sturdy table tool top unit use within work working youll",4,0.471
"7653",24701,"metal lathe"," 60016c btl cutting magic nonaerosol oil spray tap"," 125 610 amber band bottle broaching communication cutting degrees drilling flash fluidbiodegradable fragrance gravity hacksaw hazard lathe metal mild mill nonaerosol odor oil oils osha point reaming saw specific spray tapping viscosity work",1,0.471
"7654",24703,"girls halloween costumes"," adult baby costume girl halloween"," adult baby bib bring candy child comfortable costume customer durable fun girl going halloween handing headpiece heads includes inner item jumpsuit made multipiece outfit party pink planning policies polyester recommendations reviews sure trickortreaters turn whether youre",4,0.943
"7655",24706,"notebook paper"," 2pack 5subject collegerule mead notebook spiral"," 200 2pack 5subject 812 assorted assortment available bundle class college collegerule color colors cover covers features fivesubject home mead notebook notebooks notes number pad paper prepared ruled rules ruling school set sheet sheets size spiral subject suitable take two type use",3,0.687
"7656",24708,"rubbermaid turntables"," 2705 jb1 lazy plastic rubbermaid susan tier turntable vintage white"," storestrong strongeuropeanvacation2013",3,0.471
"7657",24710,"silver ring"," bracelet jewels loren macrame silver spinel sterling"," black bracelet macram<U+00E9> pave silver spinel sterling",2,1.166
"7658",24717,"routers"," 2330 4port gigabit mbps netgear nighthawk r7000 router wireless","",4,0
"7659",24718,"yellow dress"," 12m dress flower girl girls kids organza rain ruffle sequin yellow"," accented across adds attached bead daddy dance daughter dress elegant even flower flowing fullness girl gown kids like little loaded look offshoulder organza pageant perfect princess rain ruffles sequin sleeves top underskirt will",4,0.943
"7660",24721,"car window sticker"," alabama crimson ncaa tide"," can clings colors crisp decal decals easily everywhere give graphics including indoors innovative leave look made measures metal multiple outdoors painted pride printing removable removed residue reusable sharp show stick sticks surfaces team techniques ultra usa used versatile vibrant walls will windows",1,1.265
"7661",24723,"mens leather shirt"," black leather mens mossi shirt"," also bosom buffalo button closure collar comfort comfortable design features fit fold front genuine interior leather lined mossi nickel pockets providing shirt snaps spotlights two",4,0
"7662",24727,"workout clothes for women"," capri danskin forward now seaming tight womens"," activewear adjust also amount attractive available capri choice colors come comfort comfortable contrast danskin drawstring exercise fabric finish fits flatlock flattering forward good handy hidden inside light lightweight made matte move needed now offering pant percent pocket polyester printed prints program routine seaming sight small snugly softness spandex stretch tight various waist waistband will without womens workout",2,0.471
"7663",24730,"screen protector samsung"," galaxy insten lcd protector samsung screen t989"," basacc cell dirt galaxy phones protect protector samsung scratches screen t989",4,0.471
"7664",24732,"batman"," arkham batman comics direct figure joker origins series statue","",3,0.471
"7665",24735,"levis 505"," jeans levi mens signature strauss taper"," assorted button colors essential every feature great jeans leg levi mans mens pair pick pocket round signature strauss styling sweater taper tapered tee wardrobe wear year",3,0
